file,rows,final_step,final_sim_time,final_reward,final_total_waiting,final_vehicle_count,final_avg_travel_time,final_eval_wait_only_reward,final_avg_waiting,final_final_waiting,final_decision_step,final_time,final_action,final_phase_id,final_state_north_bucket,final_state_east_bucket,final_state_south_bucket,final_state_west_bucket,final_episode,final_total_reward,final_mean_reward_per_decision,final_final_avg_travel_time,final_epsilon,final_state_phase_bucket,final_state_north_count,final_state_east_count,final_state_south_count,final_state_west_count,final_state_phase,final_num_decisions,final_run,final_mean_total_reward,final_mean_final_waiting,final_mean_avg_waiting,final_mean_avg_travel_time,final_baseline_mean_total_reward,final_baseline_mean_final_waiting,final_baseline_mean_avg_waiting,final_baseline_mean_avg_travel_time
results/hangzhou_1x1_bc-tyc_18041608_1h/q_learning_bucketed_with_phase_wait_vehicle/q_learning_training.csv,2000,,,,,,,,48.666666666666664,57.0,,,,,,,,,2000.0,-8194.500000000002,-56.90625,177.86278586278587,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041608_1h/q_learning_capped_no_phase_default_reward/q_learning_trace.csv,144,,,-51.0,51.0,96.0,153.78794178794178,,,,143.0,720.0,5.0,6.0,,,,,,,,,,,8.0,10.0,5.0,4.0,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041608_1h/q_learning_capped_no_phase_default_reward/q_learning_training.csv,2000,,,,,,,,40.02777777777778,50.0,,,,,,,,,2000.0,-5764.0,-40.02777777777778,159.43243243243242,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041608_1h/q_learning_capped_no_phase_delta_wait/q_learning_trace.csv,144,,,3.0,38.0,95.0,117.76091476091476,,,,143.0,720.0,1.0,2.0,,,,,,,,,,,10.0,10.0,8.0,3.0,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041608_1h/q_learning_capped_no_phase_delta_wait/q_learning_training.csv,2000,,,,,,,,26.9375,37.0,,,,,,,,,2000.0,-37.0,-0.2569444444444444,113.8108108108108,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041608_1h/q_learning_capped_no_phase_wait_small_vehicle/q_learning_trace.csv,144,,,-50.75,46.0,95.0,139.45738045738045,,,,143.0,720.0,7.0,8.0,,,,,,,,,,,10.0,10.0,0.0,3.0,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041608_1h/q_learning_capped_no_phase_wait_small_vehicle/q_learning_training.csv,2000,,,,,,,,36.49305555555556,41.0,,,,,,,,,2000.0,-5794.799999999999,-40.24166666666667,152.13097713097713,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041608_1h/q_learning_capped_no_phase_wait_vehicle/q_learning_trace.csv,144,,,-54.2,45.0,92.0,154.3014553014553,,,,143.0,720.0,1.0,2.0,,,,,,,,,,,6.0,10.0,0.0,7.0,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041608_1h/q_learning_capped_no_phase_wait_vehicle/q_learning_training.csv,2000,,,,,,,,43.65277777777778,64.0,,,,,,,,,2000.0,-7455.999999999999,-51.77777777777778,162.12889812889813,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041608_1h/q_learning_capped_with_phase_default_reward/q_learning_trace.csv,144,,,-52.0,52.0,103.0,154.8170478170478,,,,143.0,720.0,5.0,6.0,,,,,,,,,,,3.0,10.0,10.0,0.0,5.0,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041608_1h/q_learning_capped_with_phase_default_reward/q_learning_training.csv,2000,,,,,,,,46.90277777777778,69.0,,,,,,,,,2000.0,-6754.0,-46.90277777777778,163.54677754677755,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041608_1h/q_learning_capped_with_phase_delta_wait/q_learning_trace.csv,144,,,1.0,39.0,94.0,117.96673596673595,,,,143.0,720.0,0.0,1.0,,,,,,,,,,,10.0,10.0,9.0,3.0,0.0,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041608_1h/q_learning_capped_with_phase_delta_wait/q_learning_training.csv,2000,,,,,,,,26.46527777777778,41.0,,,,,,,,,2000.0,-41.0,-0.2847222222222222,118.35966735966736,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041608_1h/q_learning_capped_with_phase_wait_small_vehicle/q_learning_trace.csv,144,,,-47.4,42.0,108.0,176.8066528066528,,,,143.0,720.0,7.0,8.0,,,,,,,,,,,7.0,10.0,7.0,8.0,7.0,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041608_1h/q_learning_capped_with_phase_wait_small_vehicle/q_learning_training.csv,2000,,,,,,,,49.80555555555556,71.0,,,,,,,,,2000.0,-7802.399999999999,-54.18333333333333,170.67983367983368,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041608_1h/q_learning_capped_with_phase_wait_vehicle/q_learning_trace.csv,144,,,-73.7,62.0,117.0,167.45114345114345,,,,143.0,720.0,2.0,3.0,,,,,,,,,,,7.0,10.0,10.0,6.0,2.0,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041608_1h/q_learning_capped_with_phase_wait_vehicle/q_learning_training.csv,2000,,,,,,,,51.22222222222222,51.0,,,,,,,,,2000.0,-8632.599999999995,-59.9486111111111,177.2037422037422,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041610_1h/hangzhou_comparison/comparison_single_run.csv,17,,,,,,94.94383072750855,-5590.0,38.81944444444444,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
